Driver,DriverNumber,LapNumber,LapTimeSeconds,Sector1Seconds,Sector2Seconds,Sector3Seconds,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,TrackStatus,Position,Deleted
ZHO,24,36.0,96.931,31.09,41.967,23.874,3.0,HARD,8.0,True,,,1,12.0,False
ZHO,24,37.0,96.805,30.874,42.13,23.801,3.0,HARD,9.0,True,,,1,11.0,False
ZHO,24,38.0,96.857,30.915,42.149,23.793,3.0,HARD,10.0,True,,,1,11.0,False
ZHO,24,39.0,96.637,30.904,42.006,23.727,3.0,HARD,11.0,True,,,1,11.0,False
ZHO,24,40.0,96.683,30.839,42.094,23.75,3.0,HARD,12.0,True,,,1,11.0,False
ZHO,24,41.0,96.695,30.827,42.096,23.772,3.0,HARD,13.0,True,,,1,11.0,False
ZHO,24,42.0,96.652,31.038,41.86,23.754,3.0,HARD,14.0,True,,,1,10.0,False
ZHO,24,43.0,96.771,30.877,42.071,23.823,3.0,HARD,15.0,True,,,1,10.0,False
ZHO,24,44.0,97.417,31.361,42.115,23.941,3.0,HARD,16.0,True,,,1,11.0,False
ZHO,24,45.0,96.68,30.867,41.919,23.894,3.0,HARD,17.0,True,,,1,11.0,False
ZHO,24,46.0,96.741,30.966,41.922,23.853,3.0,HARD,18.0,True,,,1,11.0,False
ZHO,24,47.0,96.561,30.934,41.792,23.835,3.0,HARD,19.0,True,,,1,11.0,False
ZHO,24,48.0,96.654,30.98,41.82,23.854,3.0,HARD,20.0,True,,,1,11.0,False
ZHO,24,49.0,96.72,30.9,41.995,23.825,3.0,HARD,21.0,True,,,1,11.0,False
ZHO,24,50.0,96.792,31.035,41.87,23.887,3.0,HARD,22.0,True,,,1,11.0,False
ZHO,24,51.0,97.042,31.065,42.026,23.951,3.0,HARD,23.0,True,,,1,11.0,False
ZHO,24,52.0,97.394,31.205,42.19,23.999,3.0,HARD,24.0,True,,,1,11.0,False
ZHO,24,53.0,97.141,31.11,42.136,23.895,3.0,HARD,25.0,True,,,1,11.0,False
ZHO,24,54.0,98.389,31.253,43.116,24.02,3.0,HARD,26.0,True,,,1,11.0,False
ZHO,24,55.0,97.383,31.123,42.185,24.075,3.0,HARD,27.0,True,,,1,11.0,False
ZHO,24,56.0,97.333,31.22,42.156,23.957,3.0,HARD,28.0,True,,,1,11.0,False
MAG,20,1.0,104.349,,44.375,24.212,1.0,SOFT,1.0,True,,,12,12.0,False
MAG,20,2.0,98.911,31.591,43.075,24.245,1.0,SOFT,2.0,True,,,1,12.0,False
MAG,20,3.0,98.399,30.969,43.118,24.312,1.0,SOFT,3.0,True,,,1,12.0,False
MAG,20,4.0,98.497,30.993,42.992,24.512,1.0,SOFT,4.0,True,,,1,12.0,False
MAG,20,5.0,98.576,31.066,43.108,24.402,1.0,SOFT,5.0,True,,,1,12.0,False
MAG,20,6.0,98.529,30.952,43.041,24.536,1.0,SOFT,6.0,True,,,1,12.0,False
MAG,20,7.0,100.058,32.132,43.112,24.814,1.0,SOFT,7.0,True,,,1,12.0,False
MAG,20,8.0,99.172,31.557,43.072,24.543,1.0,SOFT,8.0,True,,,1,12.0,False
MAG,20,9.0,98.861,31.383,42.932,24.546,1.0,SOFT,9.0,True,,,1,12.0,False
MAG,20,10.0,98.747,31.307,42.925,24.515,1.0,SOFT,10.0,True,,,12,12.0,False
MAG,20,11.0,101.088,31.311,42.714,27.063,1.0,SOFT,11.0,True,4693.697,,1,12.0,False
MAG,20,12.0,119.682,53.306,42.365,24.011,2.0,HARD,1.0,True,,4719.594,1,17.0,False
MAG,20,13.0,96.89,30.905,41.951,24.034,2.0,HARD,2.0,True,,,1,15.0,False
MAG,20,14.0,97.59,30.826,42.424,24.34,2.0,HARD,3.0,True,,,1,14.0,False
MAG,20,15.0,98.332,31.154,42.886,24.292,2.0,HARD,4.0,True,,,1,14.0,False
MAG,20,16.0,97.749,30.774,42.696,24.279,2.0,HARD,5.0,True,,,1,13.0,False
MAG,20,17.0,98.282,30.953,42.957,24.372,2.0,HARD,6.0,True,,,1,13.0,False
MAG,20,18.0,97.583,30.69,42.526,24.367,2.0,HARD,7.0,True,,,1,13.0,False
MAG,20,19.0,97.792,30.82,42.677,24.295,2.0,HARD,8.0,True,,,1,13.0,False
MAG,20,20.0,98.062,31.168,42.636,24.258,2.0,HARD,9.0,True,,,1,13.0,False
MAG,20,21.0,98.01,31.041,42.738,24.231,2.0,HARD,10.0,True,,,1,13.0,False
MAG,20,22.0,98.147,31.214,42.628,24.305,2.0,HARD,11.0,True,,,1,13.0,False
MAG,20,23.0,98.293,31.284,42.627,24.382,2.0,HARD,12.0,True,,,1,13.0,False
MAG,20,24.0,98.156,31.155,42.693,24.308,2.0,HARD,13.0,True,,,1,13.0,False
MAG,20,25.0,98.29,31.368,42.696,24.226,2.0,HARD,14.0,True,,,1,13.0,False
MAG,20,26.0,98.093,31.173,42.528,24.392,2.0,HARD,15.0,True,,,1,13.0,False
MAG,20,27.0,98.226,31.201,42.67,24.355,2.0,HARD,16.0,True,,,1,12.0,False
MAG,20,28.0,97.936,31.209,42.495,24.232,2.0,HARD,17.0,True,,,1,12.0,False
MAG,20,29.0,97.965,31.197,42.504,24.264,2.0,HARD,18.0,True,,,1,11.0,False
MAG,20,30.0,98.04,31.138,42.655,24.247,2.0,HARD,19.0,True,,,1,11.0,False
MAG,20,31.0,98.0,31.181,42.628,24.191,2.0,HARD,20.0,True,,,1,11.0,False
MAG,20,32.0,100.565,31.273,42.416,26.876,2.0,HARD,21.0,True,6775.425,,1,13.0,False
MAG,20,33.0,116.655,51.473,41.575,23.607,3.0,HARD,1.0,True,,6799.982,1,16.0,False
MAG,20,34.0,95.57,30.532,41.409,23.629,3.0,HARD,2.0,True,,,1,16.0,False
MAG,20,35.0,95.698,30.538,41.44,23.72,3.0,HARD,3.0,True,,,1,16.0,False
MAG,20,36.0,95.851,30.227,41.898,23.726,3.0,HARD,4.0,True,,,1,14.0,False
MAG,20,37.0,95.741,30.546,41.491,23.704,3.0,HARD,5.0,True,,,1,13.0,False
MAG,20,38.0,96.042,30.724,41.576,23.742,3.0,HARD,6.0,True,,,1,12.0,False
MAG,20,39.0,95.876,30.654,41.474,23.748,3.0,HARD,7.0,True,,,1,12.0,False
MAG,20,40.0,96.071,30.623,41.738,23.71,3.0,HARD,8.0,True,,,1,12.0,False
MAG,20,41.0,96.34,30.645,41.845,23.85,3.0,HARD,9.0,True,,,1,12.0,False
MAG,20,42.0,96.31,30.72,41.743,23.847,3.0,HARD,10.0,True,,,1,12.0,False
MAG,20,43.0,96.232,30.709,41.74,23.783,3.0,HARD,11.0,True,,,1,12.0,False
MAG,20,44.0,96.249,30.647,41.679,23.923,3.0,HARD,12.0,True,,,1,12.0,False
MAG,20,45.0,96.349,30.692,41.776,23.881,3.0,HARD,13.0,True,,,1,12.0,False
MAG,20,46.0,96.446,30.713,41.779,23.954,3.0,HARD,14.0,True,,,1,12.0,False
MAG,20,47.0,96.454,30.753,41.74,23.961,3.0,HARD,15.0,True,,,1,12.0,False
MAG,20,48.0,96.679,30.865,41.817,23.997,3.0,HARD,16.0,True,,,1,12.0,False
MAG,20,49.0,96.842,30.909,41.991,23.942,3.0,HARD,17.0,True,,,1,12.0,False
MAG,20,50.0,97.035,30.969,42.041,24.025,3.0,HARD,18.0,True,,,1,12.0,False
MAG,20,51.0,96.929,30.98,42.05,23.899,3.0,HARD,19.0,True,,,1,12.0,False
MAG,20,52.0,96.93,30.91,41.964,24.056,3.0,HARD,20.0,True,,,1,12.0,False
MAG,20,53.0,97.958,30.951,43.013,23.994,3.0,HARD,21.0,True,,,1,12.0,False
MAG,20,54.0,96.89,30.682,42.093,24.115,3.0,HARD,22.0,True,,,1,12.0,False
MAG,20,55.0,97.457,31.014,42.356,24.087,3.0,HARD,23.0,True,,,1,12.0,False
MAG,20,56.0,97.584,31.04,42.465,24.079,3.0,HARD,24.0,True,,,1,12.0,False
RIC,3,1.0,105.668,,43.159,24.451,1.0,SOFT,4.0,False,,,12,14.0,False
RIC,3,2.0,99.509,31.662,43.353,24.494,1.0,SOFT,5.0,False,,,1,15.0,False
RIC,3,3.0,98.76,30.965,43.32,24.475,1.0,SOFT,6.0,False,,,1,15.0,False
RIC,3,4.0,98.61,30.922,43.207,24.481,1.0,SOFT,7.0,False,,,1,15.0,False
